azonosító,név,születési_év,származás,feliratkozó_szám
M001,Példa Petra,1985,Magyarország,120000
M002,Rock Gyula,1970,USA,500000
M003,Beatrix Alkotó,1992,Németország,75000
M004,Soul Sisters,2001,Egyesült Királyság,300000
M005,DJ Rhythm,1978,Franciaország,1500000
M006,Harmónia Hősök,1988,Magyarország,80000
M007,Country Károly,1965,USA,250000
M008,Electro Zoltán,1995,Németország,400000
M009,Indie Inez,1990,Kanada,90000
M010,Metal Máté,1982,Svédország,600000
M011,Folk Fanni,1973,Írország,110000
M012,Pop Pál,2000,Magyarország,2000000
M013,Jazz Julian,1955,USA,180000
M014,Blues Bence,1968,USA,220000
M015,Rap Roland,1993,Franciaország,700000
M016,Klasszikus Kinga,1980,Olaszország,50000
M017,Reggae Richárd,1975,Jamaica,350000
M018,Chillout Csaba,1998,Ausztrália,100000
M019,Disco Dóra,1972,Hollandia,280000
M020,Gospel Gábor,1960,USA,190000
M021,Synth Sándor,1987,Lengyelország,160000
M022,Opera Orsolya,1979,Oroszország,40000